Time	Open	High	Low	Close	Volume	Spread
2009-10-21 00:00:00	0.92406	0.93281	0.9192	0.92743	63229	14
2009-10-22 00:00:00	0.92738	0.9298	0.91846	0.92839	53736	17
2009-10-23 00:00:00	0.92844	0.92951	0.91986	0.92196	55983	15
2009-10-25 00:00:00	0.9205	0.92199	0.92044	0.9211	1496	25
2009-10-26 00:00:00	0.92116	0.92762	0.91246	0.91577	51035	17
2009-10-27 00:00:00	0.91587	0.92176	0.91211	0.91759	62869	24
2009-10-28 00:00:00	0.91768	0.92057	0.89612	0.89824	82138	17
2009-10-29 00:00:00	0.89819	0.91811	0.89425	0.91454	59940	16
2009-10-30 00:00:00	0.91456	0.91751	0.89786	0.9146	73121	15
2009-11-01 00:00:00	0.89644	0.89862	0.89049	0.89657	4936	44
2009-11-02 00:00:00	0.89654	0.91216	0.89631	0.90499	70742	26
2009-11-03 00:00:00	0.90506	0.90908	0.89155	0.90404	86510	16
2009-11-04 00:00:00	0.90411	0.91434	0.89491	0.90905	70907	19
2009-11-05 00:00:00	0.90903	0.91238	0.90243	0.91015	58275	18
2009-11-06 00:00:00	0.91014	0.91976	0.90952	0.91766	68891	17
2009-11-08 00:00:00	0.92259	0.92264	0.91948	0.92026	1590	63
2009-11-09 00:00:00	0.92036	0.9318	0.91954	0.93125	54762	16
2009-11-10 00:00:00	0.93131	0.93226	0.92545	0.93044	57369	17
2009-11-11 00:00:00	0.93042	0.93431	0.92706	0.93014	63802	17
2009-11-12 00:00:00	0.93018	0.93696	0.92106	0.92484	55142	19
2009-11-13 00:00:00	0.92491	0.93426	0.92374	0.93416	45543	17
2009-11-15 00:00:00	0.93344	0.93516	0.93329	0.93503	1130	37
2009-11-16 00:00:00	0.93494	0.94057	0.93156	0.93639	52738	16
2009-11-17 00:00:00	0.93641	0.93756	0.92364	0.93049	64811	16
2009-11-18 00:00:00	0.93054	0.93365	0.92651	0.92813	54893	18
2009-11-19 00:00:00	0.92816	0.92821	0.91311	0.91897	55593	16
2009-11-20 00:00:00	0.91898	0.92147	0.90599	0.91546	66138	14
2009-11-22 00:00:00	0.91452	0.91531	0.91112	0.91519	1896	46
2009-11-23 00:00:00	0.91523	0.92766	0.91523	0.92304	51741	18
2009-11-24 00:00:00	0.92311	0.92316	0.91306	0.92098	58345	10
2009-11-25 00:00:00	0.92103	0.93216	0.92103	0.92944	59202	18
2009-11-26 00:00:00	0.92946	0.92946	0.89868	0.90394	43045	19
